 #---------------------------------------------------------------------------
 #   gamma p --> pi0 p                     Oct2014
 #
 #        Q - polar angle of pi0 meson in CMS
 #        err2 = sqrt(stat**2 + (0.04*ds/dOmega)**2)
 #---------------------------------------------------------------------------
 # Eg[MeV]  Eg_min   Eg_max   W[GeV]  cos(Q)    Q    ds/dOmega  stat.  err2
 #                                            [deg]   [µb/sr]   err.   
 #--------------------------------------------------------------------------
  1460.28  1457.04  1463.51  1.90280   0.233   76.51  0.7037  0.0069  0.0112
  1460.28  1457.04  1463.51  1.90280   0.300   72.54  0.5650  0.0061  0.0093
  1460.28  1457.04  1463.51  1.90280   0.367   68.49  0.4470  0.0054  0.0078
  1460.28  1457.04  1463.51  1.90280   0.433   64.32  0.4005  0.0053  0.0073
  1460.28  1457.04  1463.51  1.90280   0.500   60.00  0.4336  0.0059  0.0080
  1460.28  1457.04  1463.51  1.90280   0.567   55.48  0.5194  0.0065  0.0092
  1460.28  1457.04  1463.51  1.90280   0.633   50.70  0.6990  0.0089  0.0125
  1460.28  1457.04  1463.51  1.90280   0.700   45.57  1.0754  0.0136  0.0191
  1460.28  1457.04  1463.51  1.90280   0.767   39.94  1.5308  0.0225  0.0295
  1460.28  1457.04  1463.51  1.90280   0.833   33.56  1.9347  0.0588  0.0636
  1466.74  1463.51  1469.97  1.90598  -0.833  146.44  1.2068  0.0507  0.0529
  1466.74  1463.51  1469.97  1.90598  -0.767  140.06  1.1425  0.0280  0.0314
  1466.74  1463.51  1469.97  1.90598  -0.700  134.43  0.9286  0.0154  0.0193
  1466.74  1463.51  1469.97  1.90598  -0.633  129.30  0.7081  0.0097  0.0131
  1466.74  1463.51  1469.97  1.90598  -0.567  124.52  0.6350  0.0076  0.0110
  1466.74  1463.51  1469.97  1.90598  -0.500  120.00  0.5909  0.0069  0.0101
  1466.74  1463.51  1469.97  1.90598  -0.433  115.68  0.5907  0.0064  0.0098
  1466.74  1463.51  1469.97  1.90598  -0.367  111.51  0.6445  0.0064  0.0103
  1466.74  1463.51  1469.97  1.90598  -0.300  107.46  0.6933  0.0064  0.0108
  1466.74  1463.51  1469.97  1.90598  -0.233  103.49  0.7773  0.0069  0.0119
  1466.74  1463.51  1469.97  1.90598  -0.167   99.59  0.8506  0.0071  0.0128
  1466.74  1463.51  1469.97  1.90598  -0.100   95.74  0.9183  0.0077  0.0138
  1466.74  1463.51  1469.97  1.90598  -0.033   91.91  0.9537  0.0079  0.0143
  1466.74  1463.51  1469.97  1.90598   0.033   88.09  0.9531  0.0081  0.0144
  1466.74  1463.51  1469.97  1.90598   0.100   84.26  0.8903  0.0078  0.0136
  1466.74  1463.51  1469.97  1.90598   0.167   80.41  0.8018  0.0075  0.0125
  1466.74  1463.51  1469.97  1.90598   0.233   76.51  0.6919  0.0068  0.0110
  1466.74  1463.51  1469.97  1.90598   0.300   72.54  0.5625  0.0061  0.0093
  1466.74  1463.51  1469.97  1.90598   0.367   68.49  0.4331  0.0053  0.0076
  1466.74  1463.51  1469.97  1.90598   0.433   64.32  0.3823  0.0053  0.0071
  1466.74  1463.51  1469.97  1.90598   0.500   60.00  0.4121  0.0057  0.0077
  1466.74  1463.51  1469.97  1.90598   0.567   55.48  0.5076  0.0067  0.0092
  1466.74  1463.51  1469.97  1.90598   0.633   50.70  0.6957  0.0090  0.0125
  1466.74  1463.51  1469.97  1.90598   0.700   45.57  1.0546  0.0133  0.0187
  1466.74  1463.51  1469.97  1.90598   0.767   39.94  1.5553  0.0227  0.0299
  1466.74  1463.51  1469.97  1.90598   0.833   33.56  2.0214  0.0622  0.0671
  1473.19  1469.97  1476.41  1.90915  -0.833  146.44  1.3242  0.0528  0.0553
  1473.19  1469.97  1476.41  1.90915  -0.767  140.06  1.1876  0.0280  0.0317
  1473.19  1469.97  1476.41  1.90915  -0.700  134.43  0.8990  0.0149  0.0187
  1473.19  1469.97  1476.41  1.90915  -0.633  129.30  0.7354  0.0099  0.0135
  1473.19  1469.97  1476.41  1.90915  -0.567  124.52  0.6175  0.0076  0.0108
  1473.19  1469.97  1476.41  1.90915  -0.500  120.00  0.6019  0.0069  0.0102
  1473.19  1469.97  1476.41  1.90915  -0.433  115.68  0.6081  0.0067  0.0101
  1473.19  1469.97  1476.41  1.90915  -0.367  111.51  0.6497  0.0065  0.0104
  1473.19  1469.97  1476.41  1.90915  -0.300  107.46  0.7109  0.0067  0.0111
  1473.19  1469.97  1476.41  1.90915  -0.233  103.49  0.7924  0.0069  0.0121
  1473.19  1469.97  1476.41  1.90915  -0.167   99.59  0.8654  0.0074  0.0131
  1473.19  1469.97  1476.41  1.90915  -0.100   95.74  0.9162  0.0077  0.0138
  1473.19  1469.97  1476.41  1.90915  -0.033   91.91  0.9520  0.0081  0.0144
  1473.19  1469.97  1476.41  1.90915   0.033   88.09  0.9374  0.0082  0.0143
  1473.19  1469.97  1476.41  1.90915   0.100   84.26  0.8886  0.0078  0.0136
  1473.19  1469.97  1476.41  1.90915   0.167   80.41  0.7920  0.0073  0.0123
  1473.19  1469.97  1476.41  1.90915   0.233   76.51  0.6738  0.0068  0.0108
  1473.19  1469.97  1476.41  1.90915   0.300   72.54  0.5356  0.0060  0.0090
  1473.19  1469.97  1476.41  1.90915   0.367   68.49  0.4164  0.0053  0.0074
  1473.19  1469.97  1476.41  1.90915   0.433   64.32  0.3687  0.0051  0.0069
  1473.19  1469.97  1476.41  1.90915   0.500   60.00  0.4175  0.0057  0.0077
  1473.19  1469.97  1476.41  1.90915   0.567   55.48  0.5018  0.0066  0.0091
