 #---------------------------------------------------------------------------
 #   gamma p --> pi0 p                     Apr2013
 #
 #        Q - polar angle of pi0 meson in CMS
 #        err2 = sqrt(stat**2 + (0.02*ds/dOmega)**2)
 #---------------------------------------------------------------------------
 # Eg[MeV]  Eg_min   Eg_max   W[GeV]  cos(Q)    Q    ds/dOmega  stat.  err2
 #                                            [deg]   [µb/sr]   err.
 #--------------------------------------------------------------------------
   235.60   233.44   237.75  1.14999  -0.367  111.51  6.2649  0.0273  0.1282
   235.60   233.44   237.75  1.14999  -0.300  107.46  6.3562  0.0273  0.1300
   235.60   233.44   237.75  1.14999  -0.233  103.49  6.4513  0.0273  0.1319
   235.60   233.44   237.75  1.14999  -0.167   99.59  6.4185  0.0269  0.1312
   235.60   233.44   237.75  1.14999  -0.100   95.74  6.5279  0.0271  0.1333
   235.60   233.44   237.75  1.14999  -0.033   91.91  6.4886  0.0268  0.1325
   235.60   233.44   237.75  1.14999   0.033   88.09  6.4495  0.0266  0.1317
   235.60   233.44   237.75  1.14999   0.100   84.26  6.3592  0.0264  0.1299
   235.60   233.44   237.75  1.14999   0.167   80.41  6.2825  0.0262  0.1284
   235.60   233.44   237.75  1.14999   0.233   76.51  6.1186  0.0258  0.1251
   235.60   233.44   237.75  1.14999   0.300   72.54  5.9603  0.0256  0.1219
   235.60   233.44   237.75  1.14999   0.367   68.49  5.7592  0.0254  0.1180
   235.60   233.44   237.75  1.14999   0.433   64.32  5.6023  0.0254  0.1149
   235.60   233.44   237.75  1.14999   0.500   60.00  5.2834  0.0250  0.1086
   235.60   233.44   237.75  1.14999   0.567   55.48  5.0358  0.0251  0.1038
   235.60   233.44   237.75  1.14999   0.633   50.70  4.6959  0.0251  0.0972
   235.60   233.44   237.75  1.14999   0.700   45.57  4.3564  0.0254  0.0908
   235.60   233.44   237.75  1.14999   0.767   39.94  3.9889  0.0261  0.0839
   235.60   233.44   237.75  1.14999   0.833   33.56  3.5212  0.0271  0.0755
   235.60   233.44   237.75  1.14999   0.900   25.84  3.0436  0.0293  0.0676
   235.60   233.44   237.75  1.14999   0.967   14.84  2.5906  0.0353  0.0627
   239.91   237.76   242.07  1.15350  -0.967  165.16  4.4532  0.0292  0.0937
   239.91   237.76   242.07  1.15350  -0.900  154.16  4.8924  0.0291  0.1021
   239.91   237.76   242.07  1.15350  -0.833  146.44  5.3146  0.0293  0.1103
   239.91   237.76   242.07  1.15350  -0.767  140.06  5.7062  0.0298  0.1180
   239.91   237.76   242.07  1.15350  -0.700  134.43  5.9872  0.0299  0.1234
   239.91   237.76   242.07  1.15350  -0.633  129.30  6.2918  0.0305  0.1295
   239.91   237.76   242.07  1.15350  -0.567  124.52  6.5803  0.0309  0.1352
   239.91   237.76   242.07  1.15350  -0.500  120.00  6.7554  0.0309  0.1386
   239.91   237.76   242.07  1.15350  -0.433  115.68  6.9069  0.0310  0.1416
   239.91   237.76   242.07  1.15350  -0.367  111.51  7.0655  0.0310  0.1447
   239.91   237.76   242.07  1.15350  -0.300  107.46  7.1858  0.0310  0.1470
