E =  218.370 MeV, E_lo =  216.220 MeV, E_hi =  220.520 MeV
Systematic = 0.020, Preliminary = 0, CBMAMI_2015_Prakhov
140.060    15.008700     0.056000     0.300222
134.430    16.208200     0.057600     0.324122
129.300    17.497100     0.059700     0.349944
124.520    18.588900     0.061300     0.371780
120.000    19.707300     0.063200     0.394165
115.680    20.316100     0.063800     0.406322
111.510    21.087100     0.065100     0.421705
107.460    21.668800     0.065800     0.433333
103.490    22.272100     0.066700     0.445434
 99.590    22.556000     0.066700     0.451095
 95.740    22.789300     0.066700     0.455745
 91.910    22.913700     0.066500     0.458301
 88.090    22.603600     0.065300     0.452109
 84.260    22.630700     0.065100     0.452643
 80.410    22.327600     0.064300     0.446595
 76.510    21.996300     0.063600     0.439926
 72.540    21.540100     0.062800     0.430847
 68.490    20.991300     0.061800     0.419876
 64.320    20.219700     0.060400     0.404414
 60.000    19.402200     0.059200     0.388010
 55.480    18.387300     0.057800     0.367786
 50.700    17.395200     0.057200     0.347929
 45.570    16.011800     0.055900     0.320258
 39.940    14.457700     0.055400     0.289140
 33.560    12.886800     0.056700     0.257737
 25.840    11.187700     0.060600     0.223738
 14.840     9.037100     0.074400     0.180790
-----------------------------------------------------------
E =  291.870 MeV, E_lo =  289.700 MeV, E_hi =  294.040 MeV
Systematic = 0.020, Preliminary = 0, CBMAMI_2015_Prakhov
165.160    10.760600     0.051200     0.215193
154.160    12.674900     0.053300     0.253456
146.440    14.449600     0.055500     0.289019
140.060    15.807500     0.057300     0.316149
134.430    17.143000     0.059200     0.342826
129.300    18.648700     0.061800     0.373015
124.520    19.855900     0.063600     0.397140
120.000    20.987500     0.065400     0.419735
115.680    21.800900     0.066600     0.436043
111.510    22.555100     0.067700     0.451149
107.460    23.134800     0.068400     0.462671
103.490    23.798100     0.069400     0.475967
 99.590    24.082500     0.069400     0.481626
 95.740    24.514700     0.069900     0.490343
 91.910    24.593000     0.069700     0.491886
 88.090    24.409300     0.068600     0.488204
 84.260    24.341100     0.068200     0.486846
